0 hermite_formula_0.9_1.1,"Average Error","Error LB","Error UB","Abs. Worst"
10 hermite_formula_0.9_1.1,0.0000000204,-0.0000000459,0.0000000525,0.0000000525
11 hermite_formula_0.9_1.1,0.0000000210,-0.0000000478,0.0000000476,0.0000000478
12 hermite_formula_0.9_1.1,0.0000000226,-0.0000000545,0.0000000484,0.0000000545
13 hermite_formula_0.9_1.1,0.0000000234,-0.0000000543,0.0000000502,0.0000000543
14 hermite_formula_0.9_1.1,0.0000000202,-0.0000000443,0.0000000545,0.0000000545
16 hermite_formula_0.9_1.1,0.0000000203,-0.0000000414,0.0000000493,0.0000000493
17 hermite_formula_0.9_1.1,0.0000000192,-0.0000000369,0.0000000360,0.0000000369
18 hermite_formula_0.9_1.1,0.0000000222,-0.0000000538,0.0000000464,0.0000000538
1 hermite_formula_0.9_1.1,0.0000000000,0.0000000000,0.0000000000,0.0000000000
19 hermite_formula_0.9_1.1,0.0000000243,-0.0000000542,0.0000000576,0.0000000576
2 hermite_formula_0.9_1.1,0.0000000000,0.0000000000,0.0000000000,0.0000000000
3 hermite_formula_0.9_1.1,0.0000000217,-0.0000000564,0.0000000524,0.0000000564
4 hermite_formula_0.9_1.1,0.0000000230,-0.0000000433,0.0000000408,0.0000000433
5 hermite_formula_0.9_1.1,0.0000000225,-0.0000000439,0.0000000431,0.0000000439
6 hermite_formula_0.9_1.1,0.0000000238,-0.0000000502,0.0000000499,0.0000000502
7 hermite_formula_0.9_1.1,0.0000000221,-0.0000000574,0.0000000489,0.0000000574
8 hermite_formula_0.9_1.1,0.0000000222,-0.0000000465,0.0000000512,0.0000000512
9 hermite_formula_0.9_1.1,0.0000000215,-0.0000000502,0.0000000420,0.0000000502
,0.0000000194,-0.0000000429,0.0000000439,0.0000000439
0 hermite_formula_0.95_1.05,"Average Error","Error LB","Error UB","Abs. Worst"
10 hermite_formula_0.95_1.05,0.0000000245,-0.0000000517,0.0000000455,0.0000000517
11 hermite_formula_0.95_1.05,0.0000000214,-0.0000000508,0.0000000402,0.0000000508
12 hermite_formula_0.95_1.05,0.0000000234,-0.0000000536,0.0000000557,0.0000000557
13 hermite_formula_0.95_1.05,0.0000000229,-0.0000000546,0.0000000536,0.0000000546
16 hermite_formula_0.95_1.05,0.0000000235,-0.0000000523,0.0000000569,0.0000000569
17 hermite_formula_0.95_1.05,0.0000000162,-0.0000000314,0.0000000351,0.0000000351
18 hermite_formula_0.95_1.05,0.0000000215,-0.0000000479,0.0000000516,0.0000000516
1 hermite_formula_0.95_1.05,0.0000000000,0.0000000000,0.0000000000,0.0000000000
19 hermite_formula_0.95_1.05,0.0000000189,-0.0000000445,0.0000000455,0.0000000455
2 hermite_formula_0.95_1.05,0.0000000000,0.0000000000,0.0000000000,0.0000000000
3 hermite_formula_0.95_1.05,0.0000000176,-0.0000000481,0.0000000406,0.0000000481
4 hermite_formula_0.95_1.05,0.0000000239,-0.0000000421,0.0000000420,0.0000000421
5 hermite_formula_0.95_1.05,0.0000000253,-0.0000000518,0.0000000491,0.0000000518
6 hermite_formula_0.95_1.05,0.0000000254,-0.0000000491,0.0000000502,0.0000000502
7 hermite_formula_0.95_1.05,0.0000000217,-0.0000000531,0.0000000517,0.0000000531
9 hermite_formula_0.95_1.05,0.0000000242,-0.0000000536,0.0000000542,0.0000000542
,0.0000000186,-0.0000000312,0.0000000358,0.0000000358
0 hermite_formula_0.99_1.01,"Average Error","Error LB","Error UB","Abs. Worst"
10 hermite_formula_0.99_1.01,0.0000000216,-0.0000000462,0.0000000456,0.0000000462
11 hermite_formula_0.99_1.01,0.0000000248,-0.0000000479,0.0000000446,0.0000000479
12 hermite_formula_0.99_1.01,0.0000000296,-0.0000000577,0.0000000574,0.0000000577
14 hermite_formula_0.99_1.01,0.0000000252,-0.0000000494,0.0000000461,0.0000000494
16 hermite_formula_0.99_1.01,0.0000000198,-0.0000000389,0.0000000391,0.0000000391
17 hermite_formula_0.99_1.01,0.0000000166,-0.0000000329,0.0000000310,0.0000000329
18 hermite_formula_0.99_1.01,0.0000000203,-0.0000000591,0.0000000530,0.0000000591
1 hermite_formula_0.99_1.01,0.0000000000,0.0000000000,0.0000000000,0.0000000000
19 hermite_formula_0.99_1.01,0.0000000185,-0.0000000387,0.0000000340,0.0000000387
2 hermite_formula_0.99_1.01,0.0000000000,0.0000000000,0.0000000000,0.0000000000
3 hermite_formula_0.99_1.01,0.0000000157,-0.0000000315,0.0000000316,0.0000000316
4 hermite_formula_0.99_1.01,0.0000000209,-0.0000000401,0.0000000410,0.0000000410
5 hermite_formula_0.99_1.01,0.0000000233,-0.0000000557,0.0000000565,0.0000000565
6 hermite_formula_0.99_1.01,0.0000000250,-0.0000000455,0.0000000476,0.0000000476
7 hermite_formula_0.99_1.01,0.0000000252,-0.0000000499,0.0000000570,0.0000000570
,0.0000000263,-0.0000000592,0.0000000547,0.0000000592
0 hermite_formula_-1.01_-0.99,"Average Error","Error LB","Error UB","Abs. Worst"
10 hermite_formula_-1.01_-0.99,0.0000000257,-0.0000000467,0.0000000449,0.0000000467
11 hermite_formula_-1.01_-0.99,0.0000000271,-0.0000000426,0.0000000507,0.0000000507
12 hermite_formula_-1.01_-0.99,0.0000000287,-0.0000000565,0.0000000537,0.0000000565
13 hermite_formula_-1.01_-0.99,0.0000000254,-0.0000000457,0.0000000488,0.0000000488
14 hermite_formula_-1.01_-0.99,0.0000000231,-0.0000000565,0.0000000569,0.0000000569
16 hermite_formula_-1.01_-0.99,0.0000000221,-0.0000000409,0.0000000400,0.0000000409
17 hermite_formula_-1.01_-0.99,0.0000000154,-0.0000000323,0.0000000326,0.0000000326
18 hermite_formula_-1.01_-0.99,0.0000000255,-0.0000000548,0.0000000557,0.0000000557
1 hermite_formula_-1.01_-0.99,0.0000000000,0.0000000000,0.0000000000,0.0000000000
