0 hermite_formula_0.9_1.1,"Average Error","Error LB","Error UB","Abs. Worst"
10 hermite_formula_0.9_1.1,0.0000000204,-0.0000000459,0.0000000525,0.0000000525
11 hermite_formula_0.9_1.1,0.0000000208,-0.0000000467,0.0000000396,0.0000000467
12 hermite_formula_0.9_1.1,0.0000000236,-0.0000000418,0.0000000556,0.0000000556
13 hermite_formula_0.9_1.1,0.0000000211,-0.0000000501,0.0000000368,0.0000000501
14 hermite_formula_0.9_1.1,0.0000000205,-0.0000000585,0.0000000457,0.0000000585
16 hermite_formula_0.9_1.1,0.0000000216,-0.0000000461,0.0000000498,0.0000000498
17 hermite_formula_0.9_1.1,0.0000000192,-0.0000000369,0.0000000360,0.0000000369
18 hermite_formula_0.9_1.1,0.0000000222,-0.0000000538,0.0000000464,0.0000000538
1 hermite_formula_0.9_1.1,0.0000000000,0.0000000000,0.0000000000,0.0000000000
19 hermite_formula_0.9_1.1,0.0000000243,-0.0000000542,0.0000000576,0.0000000576
2 hermite_formula_0.9_1.1,0.0000000000,0.0000000000,0.0000000000,0.0000000000
3 hermite_formula_0.9_1.1,0.0000000217,-0.0000000564,0.0000000524,0.0000000564
4 hermite_formula_0.9_1.1,0.0000000230,-0.0000000433,0.0000000408,0.0000000433
5 hermite_formula_0.9_1.1,0.0000000225,-0.0000000439,0.0000000431,0.0000000439
6 hermite_formula_0.9_1.1,0.0000000238,-0.0000000502,0.0000000499,0.0000000502
7 hermite_formula_0.9_1.1,0.0000000221,-0.0000000574,0.0000000489,0.0000000574
8 hermite_formula_0.9_1.1,0.0000000222,-0.0000000465,0.0000000512,0.0000000512
9 hermite_formula_0.9_1.1,0.0000000196,-0.0000000452,0.0000000480,0.0000000480
,0.0000000227,-0.0000000404,0.0000000455,0.0000000455
0 hermite_formula_0.95_1.05,"Average Error","Error LB","Error UB","Abs. Worst"
10 hermite_formula_0.95_1.05,0.0000000245,-0.0000000517,0.0000000455,0.0000000517
11 hermite_formula_0.95_1.05,0.0000000219,-0.0000000481,0.0000000529,0.0000000529
12 hermite_formula_0.95_1.05,0.0000000239,-0.0000000465,0.0000000491,0.0000000491
13 hermite_formula_0.95_1.05,0.0000000203,-0.0000000479,0.0000000538,0.0000000538
16 hermite_formula_0.95_1.05,0.0000000252,-0.0000000446,0.0000000521,0.0000000521
17 hermite_formula_0.95_1.05,0.0000000162,-0.0000000314,0.0000000351,0.0000000351
18 hermite_formula_0.95_1.05,0.0000000215,-0.0000000479,0.0000000516,0.0000000516
1 hermite_formula_0.95_1.05,0.0000000000,0.0000000000,0.0000000000,0.0000000000
19 hermite_formula_0.95_1.05,0.0000000189,-0.0000000445,0.0000000455,0.0000000455
2 hermite_formula_0.95_1.05,0.0000000000,0.0000000000,0.0000000000,0.0000000000
3 hermite_formula_0.95_1.05,0.0000000176,-0.0000000481,0.0000000406,0.0000000481
4 hermite_formula_0.95_1.05,0.0000000239,-0.0000000421,0.0000000420,0.0000000421
5 hermite_formula_0.95_1.05,0.0000000253,-0.0000000518,0.0000000491,0.0000000518
6 hermite_formula_0.95_1.05,0.0000000254,-0.0000000491,0.0000000502,0.0000000502
7 hermite_formula_0.95_1.05,0.0000000217,-0.0000000531,0.0000000517,0.0000000531
9 hermite_formula_0.95_1.05,0.0000000242,-0.0000000536,0.0000000542,0.0000000542
,0.0000000202,-0.0000000358,0.0000000359,0.0000000359
0 hermite_formula_0.99_1.01,"Average Error","Error LB","Error UB","Abs. Worst"
10 hermite_formula_0.99_1.01,0.0000000216,-0.0000000462,0.0000000456,0.0000000462
11 hermite_formula_0.99_1.01,0.0000000153,-0.0000000308,0.0000000348,0.0000000348
12 hermite_formula_0.99_1.01,0.0000000242,-0.0000000442,0.0000000415,0.0000000442
14 hermite_formula_0.99_1.01,0.0000000189,-0.0000000396,0.0000000364,0.0000000396
16 hermite_formula_0.99_1.01,0.0000000243,-0.0000000498,0.0000000497,0.0000000498
17 hermite_formula_0.99_1.01,0.0000000166,-0.0000000329,0.0000000310,0.0000000329
18 hermite_formula_0.99_1.01,0.0000000203,-0.0000000591,0.0000000530,0.0000000591
1 hermite_formula_0.99_1.01,0.0000000000,0.0000000000,0.0000000000,0.0000000000
19 hermite_formula_0.99_1.01,0.0000000185,-0.0000000387,0.0000000340,0.0000000387
2 hermite_formula_0.99_1.01,0.0000000000,0.0000000000,0.0000000000,0.0000000000
3 hermite_formula_0.99_1.01,0.0000000157,-0.0000000315,0.0000000316,0.0000000316
4 hermite_formula_0.99_1.01,0.0000000209,-0.0000000401,0.0000000410,0.0000000410
5 hermite_formula_0.99_1.01,0.0000000233,-0.0000000557,0.0000000565,0.0000000565
6 hermite_formula_0.99_1.01,0.0000000250,-0.0000000455,0.0000000476,0.0000000476
7 hermite_formula_0.99_1.01,0.0000000252,-0.0000000499,0.0000000570,0.0000000570
,0.0000000263,-0.0000000592,0.0000000547,0.0000000592
0 hermite_formula_-1.01_-0.99,"Average Error","Error LB","Error UB","Abs. Worst"
10 hermite_formula_-1.01_-0.99,0.0000000257,-0.0000000467,0.0000000449,0.0000000467
11 hermite_formula_-1.01_-0.99,0.0000000184,-0.0000000371,0.0000000372,0.0000000372
12 hermite_formula_-1.01_-0.99,0.0000000210,-0.0000000418,0.0000000432,0.0000000432
13 hermite_formula_-1.01_-0.99,0.0000000211,-0.0000000392,0.0000000376,0.0000000392
14 hermite_formula_-1.01_-0.99,0.0000000237,-0.0000000530,0.0000000544,0.0000000544
16 hermite_formula_-1.01_-0.99,0.0000000236,-0.0000000501,0.0000000490,0.0000000501
17 hermite_formula_-1.01_-0.99,0.0000000154,-0.0000000323,0.0000000326,0.0000000326
18 hermite_formula_-1.01_-0.99,0.0000000255,-0.0000000548,0.0000000557,0.0000000557
1 hermite_formula_-1.01_-0.99,0.0000000000,0.0000000000,0.0000000000,0.0000000000
19 hermite_formula_-1.01_-0.99,0.0000000171,-0.0000000365,0.0000000351,0.0000000365
