0 hermite_formula_0.9_1.1,"Average Error","Error LB","Error UB","Abs. Worst"
10 hermite_formula_0.9_1.1,0.0000001079,-0.0000002695,0.0000002651,0.0000002695
11 hermite_formula_0.9_1.1,0.0000109275,-0.0004302018,0.0000380860,0.0004302018
12 hermite_formula_0.9_1.1,0.0000000857,-0.0000002464,0.0000002343,0.0000002464
13 hermite_formula_0.9_1.1,0.0000010976,-0.0000041430,0.0000034416,0.0000041430
14 hermite_formula_0.9_1.1,0.0000002069,-0.0000007370,0.0000007867,0.0000007867
16 hermite_formula_0.9_1.1,0.0000001854,-0.0000006922,0.0000005313,0.0000006922
17 hermite_formula_0.9_1.1,0.0000000714,-0.0000001736,0.0000001866,0.0000001866
18 hermite_formula_0.9_1.1,0.0000003811,-0.0000048272,0.0000010489,0.0000048272
1 hermite_formula_0.9_1.1,0.0000000000,0.0000000000,0.0000000000,0.0000000000
19 hermite_formula_0.9_1.1,0.0000000284,-0.0000000603,0.0000000856,0.0000000856
2 hermite_formula_0.9_1.1,0.0000000000,0.0000000000,0.0000000000,0.0000000000
3 hermite_formula_0.9_1.1,0.0000000354,-0.0000001029,0.0000000798,0.0000001029
4 hermite_formula_0.9_1.1,0.0000000354,-0.0000000897,0.0000001113,0.0000001113
5 hermite_formula_0.9_1.1,0.0000000225,-0.0000000439,0.0000000431,0.0000000439
6 hermite_formula_0.9_1.1,0.0000000481,-0.0000001115,0.0000001137,0.0000001137
7 hermite_formula_0.9_1.1,0.0000000221,-0.0000000574,0.0000000489,0.0000000574
8 hermite_formula_0.9_1.1,0.0000000222,-0.0000000465,0.0000000512,0.0000000512
9 hermite_formula_0.9_1.1,0.0000185954,-0.0001156569,0.0006564804,0.0006564804
,0.0000003601,-0.0000008558,0.0000009655,0.0000009655
0 hermite_formula_0.95_1.05,"Average Error","Error LB","Error UB","Abs. Worst"
10 hermite_formula_0.95_1.05,0.0000000941,-0.0000002148,0.0000002536,0.0000002536
11 hermite_formula_0.95_1.05,0.0000013574,-0.0000049765,0.0000069763,0.0000069763
12 hermite_formula_0.95_1.05,0.0000001242,-0.0000002964,0.0000003802,0.0000003802
13 hermite_formula_0.95_1.05,0.0000006229,-0.0000029010,0.0000017160,0.0000029010
16 hermite_formula_0.95_1.05,0.0000001020,-0.0000003753,0.0000002737,0.0000003753
17 hermite_formula_0.95_1.05,0.0000000193,-0.0000000563,0.0000000604,0.0000000604
18 hermite_formula_0.95_1.05,0.0000016158,-0.0000086988,0.0000123621,0.0000123621
1 hermite_formula_0.95_1.05,0.0000000000,0.0000000000,0.0000000000,0.0000000000
19 hermite_formula_0.95_1.05,0.0000000190,-0.0000000445,0.0000000455,0.0000000455
2 hermite_formula_0.95_1.05,0.0000000000,0.0000000000,0.0000000000,0.0000000000
3 hermite_formula_0.95_1.05,0.0000000312,-0.0000000884,0.0000000864,0.0000000884
4 hermite_formula_0.95_1.05,0.0000000763,-0.0000002138,0.0000001804,0.0000002138
5 hermite_formula_0.95_1.05,0.0000000253,-0.0000000518,0.0000000491,0.0000000518
6 hermite_formula_0.95_1.05,0.0000000455,-0.0000001077,0.0000001178,0.0000001178
7 hermite_formula_0.95_1.05,0.0000000252,-0.0000000737,0.0000000724,0.0000000737
9 hermite_formula_0.95_1.05,0.0000000248,-0.0000000609,0.0000000628,0.0000000628
,0.0000000765,-0.0000002296,0.0000002393,0.0000002393
0 hermite_formula_0.99_1.01,"Average Error","Error LB","Error UB","Abs. Worst"
10 hermite_formula_0.99_1.01,0.0000000663,-0.0000002511,0.0000002551,0.0000002551
11 hermite_formula_0.99_1.01,0.0000011887,-0.0000028801,0.0000024892,0.0000028801
12 hermite_formula_0.99_1.01,0.0000005935,-0.0000013563,0.0000013734,0.0000013734
14 hermite_formula_0.99_1.01,0.0000006253,-0.0000021695,0.0000020034,0.0000021695
16 hermite_formula_0.99_1.01,0.0000001162,-0.0000002955,0.0000003583,0.0000003583
17 hermite_formula_0.99_1.01,0.0000000427,-0.0000001347,0.0000001195,0.0000001347
18 hermite_formula_0.99_1.01,0.0000004918,-0.0000014303,0.0000012704,0.0000014303
1 hermite_formula_0.99_1.01,0.0000000000,0.0000000000,0.0000000000,0.0000000000
19 hermite_formula_0.99_1.01,0.0000000185,-0.0000000387,0.0000000340,0.0000000387
2 hermite_formula_0.99_1.01,0.0000000000,0.0000000000,0.0000000000,0.0000000000
3 hermite_formula_0.99_1.01,0.0000000401,-0.0000000913,0.0000001408,0.0000001408
4 hermite_formula_0.99_1.01,0.0000000362,-0.0000000895,0.0000000919,0.0000000919
5 hermite_formula_0.99_1.01,0.0000001418,-0.0000003866,0.0000003079,0.0000003866
6 hermite_formula_0.99_1.01,0.0000000566,-0.0000001356,0.0000001201,0.0000001356
7 hermite_formula_0.99_1.01,0.0000000645,-0.0000001571,0.0000001716,0.0000001716
,0.0000000489,-0.0000001003,0.0000001131,0.0000001131
0 hermite_formula_-1.01_-0.99,"Average Error","Error LB","Error UB","Abs. Worst"
10 hermite_formula_-1.01_-0.99,0.0000000522,-0.0000001163,0.0000001073,0.0000001163
11 hermite_formula_-1.01_-0.99,0.0000012749,-0.0000054993,0.0000031549,0.0000054993
12 hermite_formula_-1.01_-0.99,0.0000001121,-0.0000003187,0.0000003052,0.0000003187
13 hermite_formula_-1.01_-0.99,0.0000003852,-0.0000011261,0.0000010517,0.0000011261
14 hermite_formula_-1.01_-0.99,0.0000003195,-0.0000009040,0.0000009110,0.0000009110
